id,stop_name
262,MSB Pumping Station
263,Sangvi Phata
264,Mandai Stand
265,Jawalgaon
266,Shindevasti Burkegaon
267,Kasarsai
268,Manajinagar
269,Shreeman Society
270,Saibaba Mandir Materewadi
271,Ma Na Pa
272,Gajanan Maharaj Mandir Alandi Road
273,Spicer College
274,Udaybaug
275,Malwadi Markal Road
276,Kalukh Shetmala
277,Railway Gate Uralikanchan
278,Shinde Chhatri
279,Kondhwa Kh
280,Malkhed
281,Chutkevasti
282,Gorhe Bk Shala
283,Ganeshmala
284,Jyoti English School
285,Shreenagar
286,Kousarbaug
287,MM School
288,Kamala Nehru Hospital
289,Vajewadi Chaufula
290,Sahwas Corner
291,Mahindra Company
292,Mundhwa Gaon
293,Sant Company
294,Station Family Camp
295,Ingale Hospital
296,Salve Garden
297,Mandvi Kh
298,Mundhwagaon
299,Salve Garden
300,Pawarvasti Chikhali Road
301,Zendewadi
302,Kawdewadi
303,Shatrunjay Mandir
304,Vasantbaug
305,U Co Bank
306,Hotel Rajyog
307,Bhairav Nagar
308,Juna Pulgate
309,Bavdhangaon
310,Dhanori Gaon
311,Dhanori Shala
312,Cipla Center
313,Gokul Nagar
314,Bhumkarnagar
315,Urawdegaon
316,Holkar Pool
317,Santnagar MIDC Police Station
318,Tapkirnagar Moshi Road
319,Kamal Park
320,Gopi Chal
321,Kokate Aali
322,Baner Phata
323,Kudje Shala
324,Sathe Biscuit
325,Sanewadi
326,Sathe Nagar
327,Ranwarevasti
328,Sundarban
329,Swargate
330,Oskar Company
331,Abhinav College
332,Shindevasti Mundhwa
333,Manikchand Dhariwal Sinhagad College
334,Dattawadi
335,Fergusson College
336,Dyaneshwer paduka
337,Rajendranagar
338,SNZ Chemical Company
339,Bhairav Nagar
340,Ramanbaug Shala
341,Dagdi Khaan
342,Badhevasti
343,Rajas Society Corner
344,Gokul Nagar
345,Jilha Parishad
346,North Len
347,Holkar Pool
348,Ladies Hostel
349,ITI Saswad Road
350,Nehru Stadium
351,Shivtarwadi Phata
352,Madhav Nagar
353,Mahadevnagar Hingne
354,Bhairoba Pumping Station
355,Modern High School
356,Dattamandir Shivapurgaon
357,Govind Garden Chowk
358,YCM Hospital
359,Khadi Machine Katraj Kondhwa Road
360,Jijamata Chowk
361,Dhankawadi
362,Godambevasti
363,Sathe Biscuit
364,Mitti Ka Ghar
365,ITI Aundh
366,Torna garden
367,Darshan Hall
368,Godown Katraj Kondhwa Road
369,Rajaram Pul Corner
370,Gajanan Maharajnagar
371,Ramnagari
372,Ambedkar Society
373,Sant Dharmaji Samadhi
374,Deccan College
375,MES Canteen IAT
376,Homeguard
377,PAndT Colony
378,Mental Hospital
379,Bhondvevasti Nagar Road
380,Phule Nagar
381,5 Wa Mile
382,Ambedkar Society
383,Deccan College
384,Dehuroad Police Lane
385,Mental Hospital
386,Phule Nagar
387,Prachi Apartment
388,Panyachi Taki
389,Rihegaon
390,Panyachi Taki
391,Sai Corner
392,Homeguard
393,Parvati Gaon
394,Tamhane Chowk
395,Karachi Chowk
396,Mohitevasti
397,Police Chowky
398,Punawale
399,Ganesh Nagar Corner
400,Kate Patil Chowk
401,Dattawadi Mhasoba Chowk
402,Dnyanesh Society
403,Maruti Mandir Wes
404,Dighi Gaon
405,Morwadi
406,Lavlegaon
407,Shewalwadi Rehe
408,Kamgarnagar
409,Police Vasahat Gokhalenager
410,Shivtharwadi
411,Vikasnagar
412,PMT Chowk Bhosari
413,Jagtap Dairy
414,Dhamalevasti Mundhwa
415,Navin S T Stand
416,Shivshankar Super Market
417,Pimplesaudagar Chowk
418,Fujitsu Company
419,Vitthal Baba Darga
420,Protacto Company
421,Shivnagar
422,Kate Patil Chowk
423,Gavhanevasti
424,Fadtarevasti
425,Maruti Mandir Vishalnagar
426,Pisoligaon
427,Jadhavwadi Phata Chikhali
428,Poultry Farm Anisha
429,Rajwade Bungalow
430,Udaybaug
431,Gaikwadvasti Nandegaon
432,Diamond Wach Company
433,Mandvi Bk
434,Mantarwadi
435,Hagawanevasti
436,Sasanenagar
437,Ganeshnagar
438,Jeevannagar Hospital
439,Ramtekdi
440,Ganganagar Pradhikaran
441,Pune Station
442,Wadia Bungalow
443,Sangamwadi phata
444,Kendriya Vidyalaya
445,Pawarvasti Chikhali Road
446,Mariaai Mandir
447,Optonica Company
448,Thubevasti
449,Suskhind Phata Sus Road
450,Railway Gate Number 1
451,Bahiratwadi
452,Tingre Nagar Grampanchayat
453,Vidyanagar
454,Yerwada Gaon
455,Mahadev Mandir Pimple Saudagar
456,ST Stand Indori
457,Netaji High School
